县(市)名称,县(市)代码,活立木总蓄积,林分面积合计,防护林面积,林分蓄积合计,防护林蓄积,幼龄林面积合计,幼龄防护林面积,0
麟游,610329,703142,201288,115510,499736,297443,71904,42628,A
岐山,610323,480335,158620,79138,237556,107024,158620,79138,A
汉中,612301,421314,120872,4092,364723,18608,92094,1350,A
横山,612724,526923,426567,248222,245690,236874,309572,135425,A
神木,612722,528039,249142,111485,179619,120729,187757,70767,A
潼关,612126,290465,100219,98049,271306,271306,54237,52067,A
渭南,612101,584000,77409,69970,189869,182982,41929,35194,A
永寿,610426,341045,158244,158244,302254,302254,73491,73491,A
郊区,610203,406167,130689,112130,342436,306220,25645,23389,A
耀县,610221,940169,338195,251075,675394,517619,146567,102963,A
周至,610124,15081600,2360100,2026400,14837100,12489900,408300,337100,B
凤县,610330,8981848,2215033,587133,8679471,2092624,303047,80438,B
韩城,612102,1292931,484644,458319,1178764,1137476,217130,201768,B
西乡,612324,4303693,1332225,44415,4103959,288679,1111350,28710,B
华县,612124,1539747,514531,220937,1122066,418937,163098,72335,B
宜君,610222,1299568,361207,257422,1150777,820466,19052,10100,B
志丹,612625,2293886,1066108,989117,2217694,2131828,84507,59355,B
太白,610331,25055221,3199468,1080468,24997475,9154730,662624,224897,B
甘泉,612627,4253108,1429748,27032,4220050,86084,382293,7131,B
富县,612628,7934438,2818838,879248,7616643,2378509,188240,52496,B
洛川,612629,1515938,680074,360434,1274937,416817,224983,196316,B
宜川,612630,2875343,1063961,1063961,2751523,2751523,97834,97834,B
黄龙,612631,11371934,2372606,18093,11019455,49373,638649,9083,B
黄陵,612632,6909697,2098238,743243,6608577,2094881,192832,148848,B
南郑,612321,8158924,1646225,299210,7919355,1641736,631390,83069,B
城固,612322,6778040,1577276,606421,6682748,3697650,954491,249604,B
洋县,612323,13132630,2390746,370885,12990002,3269387,1286311,92402,B
延安,612601,2466367,1202731,1196699,2275823,2266219,174584,173670,B
宝鸡,610321,6040344,1252527,522370,5511604,1981788,422735,264305,B
勉县,612325,4732616,1352798,311924,4533458,1585711,618939,62441,B
陇县,610327,4706214,1103475,161286,4549798,508139,302670,80994,B
渭滨区,610302,1351903,280559,0,1287035,0,118510,0,B
户县,610125,3209200,509000,509000,3038700,3038700,31800,31800,B
长安,610121,2027900,387400,128000,1520600,565100,88700,20800,B
眉县,610326,2924991,433730,11000,2874782,387000,72200,0,B
蓝田,610122,2519400,824800,412900,2236300,980500,313000,156700,B
旬邑,610429,2765483,990905,940372,2632642,2575820,524251,486636,B
阎良,610114,16900,0,0,0,0,0,0,C
草滩农场,610191,1800,3000,3000,0,0,3000,3000,C
雁塔,610113,44800,600,0,300,0,600,0,C
未央,610112,55200,200,0,0,0,200,0,C
榆林,612701,470450,278555,137909,73629,56217,250603,137578,C
灞桥,610111,106600,8400,8400,9400,9400,6200,6200,C
府谷,612723,340652,200637,161399,182574,149667,86292,78736,C
高陵,610126,86100,1700,1700,4600,4600,0,0,C
绥德,612727,22764,45119,2138,2901,739,43302,1844,C
定边,612726,226366,304961,285947,115914,110181,145626,137429,C
淳化,610430,137653,130987,92063,60774,17513,100230,77398,C
米脂,612728,48483,30326,13450,15856,8105,23514,9039,C
佳县,612729,147432,118107,88709,43449,32017,47650,35410,C
吴堡,612730,8134,32685,19100,1580,751,22428,13780,C
清涧,612731,366248,328007,324881,256259,254873,219534,217000,C
子洲,612732,87691,104836,99092,44080,40446,52868,51984,C
临潼,610123,299100,45100,44200,74300,72900,25300,24500,C
靖边,612725,743183,944206,430793,86223,11828,888936,426725,C
吴旗,612626,230165,241208,73481,173986,51178,176667,58500,C
安塞,612624,358516,289371,173889,270812,131884,105954,80457,C
扶风,610324,198629,70437,68406,62742,58273,41681,41681,C
金台区,610303,28288,893,0,3845,0,473,0,C
凤翔,610322,310155,53468,53468,81316,81316,26688,26688,C
千阳,610328,252523,158709,22551,151117,7120,143486,22211,C
杨陵区,610403,14307,1642,1435,907,907,1642,1435,C
合阳,612132,89805,55785,55785,3800,3800,54185,54185,C
澄城,612129,80256,6218,5025,13386,13386,5213,4020,C
白水,612130,299082,90928,65357,219349,126829,44488,39819,C
武功,610431,133671,1169,907,660,660,1169,907,C
秦都,610402,105857,1802,915,5973,3071,0,0,C
华阴,612103,201876,105006,103461,135927,135927,72809,71264,C
长武,610428,177888,135404,109286,104349,68526,82452,67833,C
泾阳,610423,112457,8431,8431,1998,1998,7466,7466,C
三原,610422,114726,9579,2413,1464,1294,9579,2413,C
大荔,612127,523685,50138,50138,67594,67594,22795,22795,C
三门峡农,612191,0,9400,9400,0,0,9400,9400,C
礼泉,610425,112365,43716,41358,56995,53299,23719,22385,C
兴平,610421,122006,1259,1259,3662,3662,1259,1259,C
乾县,610424,95259,31002,24746,15985,12596,31002,24746,C
彬县,610427,141214,143011,94893,104077,74933,79044,52277,C
延长,612621,192278,84779,46792,140985,58632,31660,31660,C
延川,612622,108741,110409,110409,61614,61614,101451,101451,C
子长,612623,192850,79945,70111,124577,104664,47654,43416,C
蒲城,612128,298226,25052,22269,57877,52686,20036,17668,C
富平,612133,223525,18994,10528,58356,26230,14191,7983,C
